Aktivitet;Politikreds;Kommune;Antal anmeldelser;Antal anmeldelser pr 1.000 indbyggere;Antal sigtelser;Sigtelsesprocent
Sædelighed;Nordsjælland;Gribskov;16;0,4;20;125,0%
Sædelighed;Københavns Vestegn;Ballerup;10;0,2;6;60,0%
Sædelighed;Københavns Vestegn;Brøndby;8;0,2;7;87,5%
Sædelighed;Københavns Vestegn;Gladsaxe;11;0,2;18;163,6%
Sædelighed;Københavns Vestegn;Glostrup;7;0,3;10;142,9%
Sædelighed;Københavns Vestegn;Herlev;5;0,2;2;40,0%
Sædelighed;Københavns Vestegn;Albertslund;5;0,2;15;300,0%
Sædelighed;Københavns Vestegn;Hvidovre;8;0,1;7;87,5%
Sædelighed;Københavns Vestegn;Høje Taastrup;7;0,1;9;128,6%
Sædelighed;Københavns Vestegn;Rødovre;1;0,0;1;100,0%
Sædelighed;Københavns Vestegn;Ishøj;0;-;6;-
Sædelighed;Københavns Vestegn;Vallensbæk;1;0,1;1;100,0%
Sædelighed;København;København;123;0,2;86;69,9%
Sædelighed;København;Frederiksberg;11;0,1;3;27,3%
Sædelighed;København;Dragør;3;0,2;1;33,3%
Sædelighed;København;Tårnby;5;0,1;4;80,0%
Sædelighed;Bornholm;Bornholm;19;0,5;25;131,6%
